상태,피그마,key,en,lo,ko,비고
번역 완료,,Enter the model,Enter the model,ໃສ່ລຸ້ນ,,
번역 완료,,Enter the VIN,Enter the VIN,ໃສ່ເລກຖັງ,,
번역 완료,,Expiration time,Expiration time,ເວລາຫມົດອາຍຸ,,
번역 완료,,Exterior,Exterior,ພາຍນອກ,,
번역 완료,,Failed to complete inspection.,Failed to complete inspection.,ລົ້ມເຫລວໃນການກວດສອບ.,,
번역 완료,,First version,First version,ເວີຊັນທໍາອິດ,,
번역 완료,,Frame number,Frame number,ໝາຍເລກຖັງ,,
번역 완료,,Frame/engine number,Frame/engine number,ເຟຮມ / ເລກຈັກ,,
번역 완료,"KKC Admin 캘린더, KKC Inspection 캘린더","From ","From ",ຈາກ,,
번역 완료,,Fuel type,Fuel type,ປະເພດນໍ້າມັນ,,
번역 완료,,HANDLE ASS-LOCK (BRAKET & ASSEMBLY),HANDLE ASS-LOCK (BRAKET & ASSEMBLY),ມືຈັບລ໋ອກປະຕູ (ກ້ານຈັບ ແລະ ຕົວປະກອບ),,
번역 완료,,Incorrect email or password.,Incorrect email or password.,ອີເມວ ຫຼື ລະຫັດຜ່ານບໍ່ຖືກຕ້ອງ.,,
번역 완료,,Insepction code,Insepction code,ລະ​ຫັດ​ການ​ກວດ​ສອບ​,,
번역 완료,,Inspected by,Inspected by,ກວດສອບໂດຍ,,
번역 완료,,Inspected date,Inspected date,ວັນທີກວດສອບ,,
번역 완료,,Inspection completed successfully.,Inspection completed successfully.,ສຳເລັດການກວດສອບ,,
번역 완료,,Inspection item,Inspection item,ລາຍການກວດສອບ,,
번역 완료,,Inspection required,Inspection required,ຕ້ອງການການກວດສອບ,,
번역 완료,,Interior,Interior,ພາຍໃນ,,
번역 완료,,Is not a current password,Is not a current password,ບໍ່ແມ່ນລະຫັດປັດຈຸບັນ,,
번역 완료,,IVT,IVT,IVT,,
번역 완료,,Last version,Last version,ເວີຊັນຫຼ້າສຸດ,,
번역 완료,,Latest updated,Latest updated,ອັບເດດຫຼ້າສຸດ,,
번역 완료,,List,List,ລາຍການ,,
번역 완료,,Mileage,Mileage,ເລກກິໄລແມັດ,,
번역 완료,,Model,Model,ລຸ້ນ,,
번역 완료,,Model information,Model information,ຂໍ້ມູນລຸ້ນ​ລົດ,,
번역 완료,,MT,MT,ກະປຸກ,,
번역 완료,,Next,Next,ຕໍ່ໄປ,,
번역 완료,,No history,No history,ຍັງບໍ່ມີປະຫວັດການນໍາໃຊ້,,
번역 완료,,No results found,No results found,ບໍ່ພົບຜົນການຄົ້ນຫາ,,
번역 완료,,No.,No.,No.,,
번역 완료,,Normal,Normal,ປົກກະຕິ,,
번역 완료,,Other,Other,ອື່ນໆ,,
번역 완료,,Pass,Pass,ຜ່ານ,,
번역 완료,,Password,Password,ລະຫັດຜ່ານ,,
번역 완료,,Password matches,Password matches,ລະຫັດຜ່ານກົງກັນ,,
번역 완료,,Please apply the filter to search,Please apply the filter to search,ກະລຸນານຳໃຊ້ຕົວກອງເພື່ອຄົ້ນຫາ,,
번역 완료,,Please fill out this field.,Please fill out this field.,ກະລຸນາຕື່ມຂໍ້ມູນໃສ່ຊ່ອງນີ້.,,
번역 완료,,Rank,Rank,ອັນດັບ,,
번역 완료,,Remarks,Remarks,ໝາຍເຫດ,,
번역 완료,,Reset,Reset,ຣີເຊັດ,,
번역 완료,,Reset password,Reset password,ຕັ້ງລະຫັດຜ່ານໃຫມ່,,
번역 완료,,Result,Result,ຜົນກວດສອບ,,
번역 완료,,Review version,Review version,ເວີຊັນກວດສອບຄືນ,,
번역 완료,,Save,Save,ບັນທຶກ,,
번역 완료,,Seats,Seats,ບ່ອນນັ່ງ,,
번역 완료,,Select the date,Select the date,ເລືອກວັນທີ,,
번역 완료,,Select the option,Select the option,ເລືອກອອບຊັນ,,
번역 완료,,Selected,Selected,ເລືອກແລ້ວ,,
번역 완료,,Sign in,Sign in,ເຂົ້າ​ສູ່​ລະ​ບົບ,,
번역 완료,,Start inspection,Start inspection,ເລີ່ມ​ຕົ້ນ​ການ​ກວດ​ສອບ,,
번역 완료,,"Support file : png, jpeg, jpg","Support file : png, jpeg, jpg","ສະຫນັບສະຫນູນຟາຍລ໌ : png, jpeg, jpg",,
번역 완료,,SUV,SUV,ລົດຈິບ,,
번역 완료,,This field is mandatory.,This field is mandatory.,ທ່ານມີຄວາມຈໍາເປັນໃສ່ຂໍ້ມູນຊ່ອງນີ້.,,
번역 완료,"KKC Admin 캘린더, KKC Inspection 캘린더",To,To,ເຖິງ,,
번역 완료,"KKC Admin 캘린더, KKC Inspection 캘린더",Today,Today,ມື້ນີ້,,
번역 완료,,Transmission,Transmission,ລະບົບເກຍ,,
번역 완료,,Underside,Underside,ຊ່ວງລ່າງ,,
번역 완료,,Upload photo,Upload photo,ອັບໂຫຼດຮູບ,,
번역 완료,,Verify,Verify,ຢືນຢັນ,,
번역 완료,,VIN,VIN,ເລກຖັງ,,
번역 완료,,VIN/engine number,VIN/engine number,ເລກຖັັງ/ເລກຈັກ,,
번역 완료,,Year,Year,ປີ,,
번역 완료,,You can upload up to 3 files at a time.,You can upload up to 3 files at a time.,ທ່ານສາມາດອັບໂຫລດໄດ້ເຖິງ 3 ໄຟລ໌ຕໍ່ຄັ້ງ.,,
번역 완료,,You can upload up to 3 photos.,ທ່ານສາມາດອັບໂຫຼດຮູບ ສູງສຸດ 3ຮູບ,ທ່ານສາມາດອັບໂຫຼດຮູບ ສູງສຸດ 3ຮູບ,,
